Vote,Sector,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Approved Budget (% of GDP),Actual Expenditure (% of GDP),Performance (%),Deviation (UGX),Execution Status,Nominal GDP (UGX Trillions),Subprogram,Source File,Imputed,Actual Expenditure (UGX) - Original,Released Budget (UGX) - Original,Execution_Rate,Absorption_Rate
10,Agriculture,23/24,259000.0,220150000000.0,230510000000.0,0.148177813,0.1318782539046856,89.0,28490000000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,515000.0,437750000000.0,458350000000.0,0.294639281,0.2622289604668459,89.0,56650000000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,50000.0,42500000000.0,44500000000.0,0.028605755,0.02545912237542193,89.0,5500000000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
14,Health,23/24,1635874.0,1472286600000.0,1521362820000.0,0.935908233,0.8703946564448768,93.0,114511180000.0,Satisfactorily Spent,174.79,002 Health Research Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0333333333333334
13,Education,23/24,5052918.0,4446567840000.0,4598155380000.0,2.890850735,2.630674169002803,91.0,454762620000.0,Satisfactorily Spent,174.79,1602 Retooling of Education Service Commission,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0340909090909092
13,Education,23/24,5052918.0,4446567840000.0,4598155380000.0,2.890850735,2.630674169002803,91.0,454762620000.0,Satisfactorily Spent,174.79,1602 Retooling of Education Service Commission,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0340909090909092
14,Health,23/24,2048000.0,1843200000000.0,1904640000000.0,1.171691744,1.089673322272441,93.0,143360000000.0,Satisfactorily Spent,174.79,1635 Retooling of Health Service Commission,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0333333333333334
14,Health,23/24,2048000.0,1843200000000.0,1904640000000.0,1.171691744,1.089673322272441,93.0,143360000000.0,Satisfactorily Spent,174.79,1635 Retooling of Health Service Commission,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0333333333333334
10,Agriculture,23/24,4345800.0,3693930000000.0,3867762000000.0,2.486297843,2.212805080382173,89.0,478038000000.0,Satisfactorily Spent,174.79,001 Development and Production,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
14,Health,23/24,2617800.0,2356020000000.0,2434554000000.0,1.497682934,1.392845128439842,93.0,183246000000.0,Satisfactorily Spent,174.79,"002 Environment, Health and Safety",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0333333333333334
10,Agriculture,23/24,7719188.0,6561309800000.0,6870077320000.0,4.416264088,3.93047503861777,89.0,849110680000.0,Satisfactorily Spent,174.79,"1560 Relocation and Operationalisation of the National
Livestock Resources Research Institute(NALIRRI)",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
