Vote,Sector,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Approved Budget (% of GDP),Actual Expenditure (% of GDP),Performance (%),Deviation (UGX),Execution Status,Nominal GDP (UGX Trillions),Subprogram,Source File
10,Agriculture,19/20,122.6,,,9.37e-05,,,,,130.8,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,122.6,,,9.37e-05,,,,,130.8,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,122.6,,,9.37e-05,,,,,130.8,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",ABPR%20FY%202019-20.pdf
13,Education,19/20,1100.86,,,0.000841636,,,,,130.8,Programme : 81 Pre-Primary and Primary Education,ABPR%20FY%202019-20.pdf
13,Education,19/20,1100.86,,,0.000841636,,,,,130.8,Programme : 81 Pre-Primary and Primary Education,ABPR%20FY%202019-20.pdf
13,Education,19/20,552.21,,,0.000422179,,,,,130.8,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1385 HEALTH DEVELOPMENT
321431 Conditional transfers to PHC - development
321472 Transitional Development Grant",ABPR%20FY%202019-20.pdf
14,Health,19/20,552.21,,,0.000422179,,,,,130.8,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1385 HEALTH DEVELOPMENT
321431 Conditional transfers to PHC - development
321472 Transitional Development Grant",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,270.18,,,0.00020656,,,,,130.8,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,270.18,,,0.00020656,,,,,130.8,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,270.18,,,0.00020656,,,,,130.8,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf
